name,code,sat_code,magnitude,value
Kilómetro,km,kmt,longitude,1000
Centímetro,cm,cmt,longitude,0.01
Metro,m,mtr,longitude,1
Pulgada,inch,inh,longitude,0.0254
Pie,ft,fot,longitude,0.3048
Gramo,g,grm,mass,1
Milímetro,cm,mmt,longitude,0.001
Kilogramo,kg,kgm,mass,1000
Libra,lb,,mass,453.592
Tonelada,t,,mass,1000000
Onza,oz,onz,mass,28.3495
Miligramo,mg,mgm,mass,0.001
Vaso,glass,xcu,volumen,0.2
mililitro,ml,mlt,volumen,0.001
Galón,gl,a76,volumen,3.78541
Cuarto,gt,qt,volumen,0.946353
Litro,l,ltr,volumen,1
Onza líquida GB,ozi,ozi,volumen,0.028413
Copa,cop,,volumen,0.236588
Bidon,bd,x3h,volumen,20
Onza líquida EU,oza,oza,volumen,0.029574
Taza,cup,g21,volumen,0.236588
Pieza,pz,h87,custom,1
Cucharita(tsp),teaspoon,g25,volumen,0.005
Cucharada(tbs),tablespoon,g24,volumen,0.015
Rollo,rl,xro,custom,1
Caja,box,xbx,custom,1
Cubeta,bkt,xbj,custom,1
Paquete,pkg,xpk,custom,1
Manojo,bunch,xbh,custom,1
Bolsa,bag,xec,custom,1
Bulto,bun,xsa,custom,1
Unidad,XUN,xun,custom,1
Frasco,jar,xci,custom,1
Garrafon,gar,xcp,custom,1
Domo,dome,xif,custom,1
Lata,can,xcx,custom,1
Botella,bot,xbs,custom,1
Bote,bt,xbq,custom,1
Docena,dc,dzn,custom,1
Orden,ord,,custom,1
Conjunto,set,set,custom,1
Unidad de servicio,e48,e48,custom,1
Elemento,el,ea,custom,1
Unidades de empaque,ue,xun,custom,1
Número de paquetes,No de paq,nmp,custom,1
Kilogramo neto,kg neto,58,mass,1000
Cambro,Caja Base,bb,custom,1
Actividad,ACT,act,custom,1
Kilogramo peso seco,kg ps,mnd,mass,1
Caja de plástico,caja de plástico,x4h,custom,1
Hectólitro,Hectpolitro,hlt,volumen,1
Caja de cartón,Caja cartón,x4g,volumen,1
Metro cúbico,metro3,mtq,volumen,1
Unidad,Uno,c62,custom,1
Botella sin protección cilíndrica,Bot Cilíndrica,xbo,custom,1
Barril,EURCO,xba,custom,1
Mil pedazos,Mil pedazos,t3,custom,1000
Kilo bruto,Kilo bruto,e4,mass,1
Recipiente de plástico en caja de cartón,reci plástico,xyk,custom,1
Paquete a granel,Paq granel,ab,custom,1
Docena de piezas,DDP,dpc,custom,12
Litro X Litro,LxL,k62,volumen,1
Kit de piezas,Kit,xki,custom,1
Tarífa,Tarífa,a9,custom,1
Mutuamente definido,Mutuamente definido,zz,custom,1
No disponible,ND,xna,custom,1
Kilogramo teórico,Kg. Teo.,53,mass,1
Carga,Carga,nl,custom,1
Envío,Envío,sx,custom,1
Kilogramo por kilogramos de producto,kg x kg,3h,custom,1
Mil,Mil,mil,custom,1
Veinte Pack,20 Pack,4e,custom,1
Empaques a granel,Emp,xlt,custom,1
Medio Litro,MedL,h2,volumen,0.5
Kilogramo por tonelada métrica seca del aire,Kilogramo por tonelada métrica seca del aire,32,custom,1
Bolsa de plastico,Bolsa de plastico,x44,custom,1
Unidad de conteo que define el número de pares,PAR,pr,custom,1
Kit,Kit,kt,custom,1
Cabeza,Cabeza,hea,custom,1
Paquete de 8 piezas,P8,p8,volumen,1
Gramo por 100 gramos,GC,gc,custom,1
Unidad,XUN,xun,custom,1
Kilogramo por segundo,KGS,kgs,mass,1
Pastel,KA,ka,custom,1
Viaje,Viaje,e54,custom,1
Cartón," XCT",xct,custom,1
Mil litros,Mil litros,d40,volumen,1
