provider,product,contentUnit,createdAt,updatedAt,isDeleted,deletedAt,brand,contentQuantity,status,description,in_stock,external_id,country_id
5dfa59e042c14205ef12a08d,5dfa4d4d42c14205ef129ce6,5df8f4def290f74d58745b50,2019-12-18T17:16:04.930Z,2023-08-19T17:47:09.985Z,false,,,1,published,,,,
5dfa615842c14205ef12a097,623b6161211be9001e0349de,5df8f4def290f74d58745b62,2019-12-18T17:31:23.985Z,2023-08-14T15:33:53.901Z,false,,355 ml,24,published,,,,
5dfa649242c14205ef12a0a5,5dfa4d4c42c14205ef129c71,5df8f4def290f74d58745b6e,2019-12-18T17:41:22.976Z,2022-02-09T20:33:36.706Z,false,,,12,published,,,,
5dfa649242c14205ef12a0a5,5dfa4d4c42c14205ef129c72,5df8f4def290f74d58745b6e,2019-12-18T17:41:23.017Z,2022-02-09T20:33:36.916Z,false,,,12,published,,,,
5dfa68f342c14205ef12a0b4,5dfa4d4e42c14205ef129d3c,5df8f4def290f74d58745b50,2019-12-18T17:59:39.811Z,2020-10-29T19:42:15.286Z,false,,,1,published,,,,
5dfa68f342c14205ef12a0b4,5dfa4d4d42c14205ef129d19,5df8f4def290f74d58745b50,2019-12-18T17:59:39.828Z,2022-08-17T22:24:15.926Z,false,,,1,published,Tamaño estándar,,,
5dfa68f342c14205ef12a0b4,5dfa4d4d42c14205ef129cf6,5df8f4def290f74d58745b50,2019-12-18T18:15:22.019Z,2021-11-04T01:36:08.445Z,false,,,1,published,,,,
5dfa68f342c14205ef12a0b4,5dfa4d4d42c14205ef129d22,5df8f4def290f74d58745b50,2019-12-18T18:15:22.042Z,2021-11-13T01:56:48.137Z,false,,de primera categria,1,published,,,,
5dfa68f342c14205ef12a0b4,5f21d9e2135b2339c9aca6ad,5df8f4def290f74d58745b50,2019-12-18T18:15:22.062Z,2023-08-29T19:55:01.462Z,false,,limpio,1,published,Limpio,,,
5dfa59e042c14205ef12a08d,5dfa4d4f42c14205ef129e06,5df8f4def290f74d58745b50,2019-12-18T18:43:41.841Z,2023-07-20T17:24:54.412Z,false,,,1,published,,,,
5dfd6b834af27574322bc21a,5dfa4d4d42c14205ef129cca,5df8f4def290f74d58745b62,2019-12-19T17:20:21.345Z,2023-07-03T20:04:17.780Z,false,,reyma,25,published,,,,
5dfa68f342c14205ef12a0b4,5dfa4d4d42c14205ef129cf7,5df8f4def290f74d58745b50,2019-12-19T17:24:34.698Z,2021-11-13T01:56:54.970Z,false,,,1,published,,,,
5dfa68f342c14205ef12a0b4,5dfa4d4d42c14205ef129d00,5df8f4def290f74d58745b50,2019-12-19T17:24:34.715Z,2020-11-02T23:12:43.964Z,false,,,1,published,,,,
5dfa68f342c14205ef12a0b4,5dfa4d4e42c14205ef129d90,5df8f4def290f74d58745b50,2019-12-19T17:24:34.735Z,2021-11-13T01:57:01.170Z,false,,,1,published,,,,
5dfbb39542c14205ef12a107,5dfa4d4c42c14205ef129c2a,5df8f4def290f74d58745b50,2019-12-19T17:30:52.193Z,2022-10-27T19:25:06.939Z,false,,,11,published,,,,
5dfa606542c14205ef12a090,5dfa4d5042c14205ef129e83,5df8f4def290f74d58745b5c,2019-12-19T18:17:03.728Z,2020-10-09T01:31:12.867Z,false,,,1.0,published,,,,
5dfa68f342c14205ef12a0b4,5dfa4d4d42c14205ef129cf5,5df8f4def290f74d58745b50,2019-12-19T18:19:18.052Z,2020-10-31T22:56:06.814Z,false,,,1,published,,,,
5dfa68f342c14205ef12a0b4,5dfa4d4d42c14205ef129d23,5df8f4def290f74d58745b50,2019-12-19T18:19:18.070Z,2020-10-31T17:24:29.592Z,false,,,1,published,,,,
5dfa68f342c14205ef12a0b4,5dfa4d4d42c14205ef129d04,5df8f4def290f74d58745b50,2019-12-19T18:19:18.093Z,2020-10-31T17:30:47.618Z,false,,,1,published,,,,
5dfa68f342c14205ef12a0b4,5dfa4d4e42c14205ef129d43,5df8f4def290f74d58745b50,2019-12-19T18:20:21.701Z,2021-11-09T17:49:26.823Z,false,,,1,published,,,,
5dfa68f342c14205ef12a0b4,5dfa4d4e42c14205ef129d94,5df8f4def290f74d58745b50,2019-12-19T18:20:21.721Z,2020-10-30T16:29:09.713Z,false,,,1,published,,,,
5dfa68f342c14205ef12a0b4,5dfa4d4d42c14205ef129cfe,5df8f4def290f74d58745b50,2019-12-19T18:32:18.207Z,2020-11-02T21:38:47.049Z,false,,,1,published,,,,
60f076797d5c2a001e64ad17,61776c776910a0001e8a67d0,5df8f4def290f74d58745b62,2019-12-19T22:14:59.468Z,2023-08-11T20:48:33.305Z,false,,650 ml,12,published,,,,
5dfa651642c14205ef12a0a9,5dfa4d4b42c14205ef129c12,5df8f4def290f74d58745b50,2019-12-20T22:40:47.205Z,2022-07-25T21:17:29.221Z,false,,,1,published,,,,
5dfa68f342c14205ef12a0b4,5dfa4d4d42c14205ef129cef,5df8f4def290f74d58745b50,2019-12-20T22:42:47.261Z,2022-04-28T01:45:28.264Z,false,,,1,published,,,,
5dfd6b834af27574322bc21a,5dfa4d4942c14205ef129b0f,5df8f4def290f74d58745b50,2019-12-21T00:49:24.824Z,2023-07-11T18:51:19.807Z,false,,,1,published,,,,
5dfd6b834af27574322bc21a,5dfa4d4a42c14205ef129ba7,5df8f4def290f74d58745b50,2019-12-21T00:49:24.844Z,2023-05-31T22:35:32.097Z,false,,,1.0,published,,,,
5dfa68f342c14205ef12a0b4,5dfa4d4d42c14205ef129cfa,5df8f4def290f74d58745b50,2019-12-21T00:56:19.181Z,2020-10-30T19:11:11.533Z,false,,,1,published,Caja con 500 gr limpio,,,
5dfd6b834af27574322bc21a,5dfa4d4842c14205ef129a45,5df8f4def290f74d58745b62,2020-01-02T22:56:53.578Z,2023-08-15T22:58:33.117Z,false,,,200,published,,,,
5dfd6b834af27574322bc21a,5dfa4d4842c14205ef129a47,5df8f4def290f74d58745b54,2020-01-02T22:56:53.655Z,2023-05-22T22:12:52.113Z,false,,,1,published,,,,
5e0e753325f58f21dd52bc3f,5e4f0bf34675d41d9f617b88,5df8f4def290f74d58745b50,2020-01-02T22:56:53.693Z,2021-11-09T18:46:12.581Z,false,,,0.33,published,,,,
5e0e753325f58f21dd52bc40,5dfa4d4842c14205ef129a4f,5df8f4def290f74d58745b50,2020-01-02T22:56:53.758Z,2022-01-20T19:53:12.684Z,false,,,0.1,published,,,,
5dfd6b834af27574322bc21a,5dfa4d4842c14205ef129a52,5df8f4def290f74d58745b50,2020-01-02T22:56:53.813Z,2023-08-23T16:36:03.788Z,false,,,1,published,,,,
5dfd6b834af27574322bc21a,5dfa4d4842c14205ef129a54,5df8f4def290f74d58745b50,2020-01-02T22:56:53.839Z,2023-08-15T00:00:23.935Z,false,,,1,published,,,,
