status,type,name,sectionName,departamentName
published,product,ABLANDADOR DE CARNE,"sal, condimentos y especias",ABARROTES
published,product,ABRELATAS DE MESA INDUSTRIAL 48CM,mobiliario,EQUIPO Y UTENSILIOS
published,product,"ABREOSTRAS CON MANGO NEGRO ",mobiliario,EQUIPO Y UTENSILIOS DE COCINA
published,product,ABULON EN LATA,"Productos Marinos ",DEL MAR
published,product,"ABULON ROJO DE CULTIVO CONGELADO ",mariscos y pescados congelados,DEL MAR
published,product,"ABULON ROJO SILVESTRE ",mariscos frescos,DEL MAR
published,product,"ABULON VIVO CULTIVADO CLASE 3.5 ",mariscos frescos,DEL MAR
published,product,"ABULON VIVO CULTIVADO CLASE 5 ",mariscos frescos,DEL MAR
published,product,ABULON VIVO CULTIVADO GRANDE,mariscos frescos,DEL MAR
published,product,ACAI,frutas,FRUTAS Y VERDURAS
published,product,ACEDERA VERDE,"plantas, flores y hortalizas",FRUTAS Y VERDURAS
published,product,ACEITE DE AGUACATE,aceites y vinagres,ABARROTES
published,product,ACEITE DE AJO,aceites y vinagres,ABARROTES
published,product,ACEITE DE AJONJOLI,aceites y vinagres,ABARROTES
published,product,ACEITE DE AJONJOLI TOSTADO,aceites y vinagres,ABARROTES
published,product,"ACEITE DE CACAHUATE TOSTADO ",aceites y vinagres,ABARROTES
published,product,ACEITE DE CARTAMO,aceites y vinagres,ABARROTES
published,product,ACEITE DE CEBOLLIN,aceites y vinagres,ABARROTES
published,product,ACEITE DE COCO,aceites y vinagres,ABARROTES
published,product,ACEITE DE MAIZ,aceites y vinagres,ABARROTES
published,product,"ACEITE DE OLIVA ",aceites y vinagres,ABARROTES
published,product,"ACEITE DE OLIVA CON CHIPOTLE ",aceites y vinagres,ABARROTES
published,product,ACEITE DE OLIVA CON TRUFA,aceites y vinagres,ABARROTES
published,product,ACEITE DE OLIVA DE TRUFA BLANCA,aceites y vinagres,ABARROTES
published,product,ACEITE DE OLIVA DE TRUFA NEGRA,aceites y vinagres,ABARROTES
published,product,ACEITE DE OLIVA EXTRA VIRGEN,aceites y vinagres,ABARROTES
published,product,ACEITE DE OLIVA PURO,aceites y vinagres,ABARROTES
published,product,ACEITE DE SOYA,aceites y vinagres,ABARROTES
published,product,ACEITE MANTEQUILLA,aceites y vinagres,ABARROTES
published,product,ACEITE VEGETAL COMESTIBLE,aceites y vinagres,ABARROTES
published,product,ACEITE VEGETAL EN AEROSOL,aceites y vinagres,ABARROTES
published,product,ACEITE VEGETAL HIDROGENADO,aceites y vinagres,ABARROTES
published,product,ACEITE VEGETAL PARA FRITURA PROFUNDA,aceites y vinagres,ABARROTES
