id,_id,name,code,sat_code,magnitude,value,created_at,updated_at,deleted_at,is_deleted
ac872f3a-90f0-4037-bb03-62f8bdb84bfa,5df8f4def290f74d58745b49,Kilómetro,km,kmt,longitude,1000,18:01:29.472164+00,18:01:29.472164+00,NULL,False
8e4cfbbe-3845-43be-915e-d09a15e0c189,5df8f4def290f74d58745b4a,Centímetro,cm,cmt,longitude,0.01,18:01:29.472164+00,18:01:29.472164+00,NULL,False
7a2e70ff-c27e-4c69-abcc-aa8f2b4d3c77,5df8f4def290f74d58745b48,Metro,m,mtr,longitude,1,18:01:29.472164+00,18:01:29.472164+00,NULL,False
927dbe5e-a852-4824-9283-0057dceec367,5df8f4def290f74d58745b4c,Pulgada,inch,inh,longitude,0.0254,18:01:29.472164+00,18:01:29.472164+00,NULL,False
cd19b4b2-47c5-41f3-9d28-b4969537b185,5df8f4def290f74d58745b4d,Pie,ft,fot,longitude,0.3048,18:01:29.472164+00,18:01:29.472164+00,NULL,False
3be7ba0f-59ed-4d22-807a-25c3df15bb8c,5df8f4def290f74d58745b4e,Gramo,g,grm,mass,1,18:01:29.472164+00,18:01:29.472164+00,NULL,False
35cb31da-6d93-47be-8c95-03ae3b6dd0e5,5df8f4def290f74d58745b4b,Milímetro,cm,mmt,longitude,0.001,18:01:29.472164+00,18:01:29.472164+00,NULL,False
fc8c6765-c38c-4308-bb2b-294a5d107fd9,5df8f4def290f74d58745b50,Kilogramo,kg,kgm,mass,1000,18:01:29.472164+00,18:01:29.472164+00,NULL,False
20518917-2e4e-476b-9a6a-1d3bee307927,5df8f4def290f74d58745b53,Libra,lb,,mass,453.592,18:01:29.472164+00,18:01:29.472164+00,NULL,False
4ff27482-7d27-4be8-8185-d8206d0b9060,5df8f4def290f74d58745b51,Tonelada,t,,mass,1000000,18:01:29.472164+00,18:01:29.472164+00,NULL,False
2b19ff6a-4e3d-49e6-b6d1-7c90ef48a028,5df8f4def290f74d58745b52,Onza,oz,onz,mass,28.3495,18:01:29.472164+00,18:01:29.472164+00,NULL,False
6cbec2ea-ad25-4019-a7b4-3d9190325fbd,5df8f4def290f74d58745b4f,Miligramo,mg,mgm,mass,0.001,18:01:29.472164+00,18:01:29.472164+00,NULL,False
18a1d9c1-6e76-4c96-94af-f1c46d873fac,5df8f4def290f74d58745b56,Vaso,glass,xcu,volumen,0.2,18:01:29.472164+00,18:01:29.472164+00,NULL,False
662ce304-fbd0-4434-98e4-850537260e61,5df8f4def290f74d58745b55,mililitro,ml,mlt,volumen,0.001,18:01:29.472164+00,18:01:29.472164+00,NULL,False
3a7e4111-7d6f-4efc-94b5-0b2bd3b4c858,5df8f4def290f74d58745b58,Galón,gl,a76,volumen,3.78541,18:01:29.472164+00,18:01:29.472164+00,NULL,False
88dfe80b-f934-4c5e-a5df-1fbedfe79c52,5df8f4def290f74d58745b57,Cuarto,gt,qt,volumen,0.946353,18:01:29.472164+00,18:01:29.472164+00,NULL,False
3293891c-1a30-494d-9769-869f9a3823ed,5df8f4def290f74d58745b54,Litro,l,ltr,volumen,1,18:01:29.472164+00,18:01:29.472164+00,NULL,False
da144dd4-bf5b-4eb7-b8d9-0be15eecaa1b,5df8f4def290f74d58745b5d,Onza líquida GB,ozi,ozi,volumen,0.028413,18:01:29.472164+00,18:01:29.472164+00,NULL,False
4d749130-5a6c-40ea-84f7-9ccda749c14a,5df8f4def290f74d58745b5a,Copa,cop,,volumen,0.236588,18:01:29.472164+00,18:01:29.472164+00,NULL,False
2c0c232b-3815-46a5-8583-0ec566716058,5df8f4def290f74d58745b5b,Bidon,bd,x3h,volumen,20,18:01:29.472164+00,18:01:29.472164+00,NULL,False
31279b43-a034-4e9f-b143-a5fb06c9321e,5df8f4def290f74d58745b5c,Onza líquida EU,oza,oza,volumen,0.029574,18:01:29.472164+00,18:01:29.472164+00,NULL,False
0df2ee5c-29b6-4b96-abdc-597301d14783,5df8f4def290f74d58745b59,Taza,cup,g21,volumen,0.236588,18:01:29.472164+00,18:01:29.472164+00,NULL,False
355935e2-088d-4a1f-83b7-e500c52d13b6,5df8f4def290f74d58745b62,Pieza,pz,h87,custom,1,18:01:29.472164+00,18:01:29.472164+00,NULL,False
00742477-38ad-4898-aa81-9f1f14a56f4a,5df8f4def290f74d58745b5e,Cucharita(tsp),teaspoon,g25,volumen,0.005,18:01:29.472164+00,18:01:29.472164+00,NULL,False
45bbd960-d92f-4789-9390-f5c50709c7f4,5df8f4def290f74d58745b5f,Cucharada(tbs),tablespoon,g24,volumen,0.015,18:01:29.472164+00,18:01:29.472164+00,NULL,False
7e9fbac3-c383-435d-a43f-004c2619ffc1,5df8f4def290f74d58745b60,Rollo,rl,xro,custom,1,18:01:29.472164+00,18:01:29.472164+00,NULL,False
27f25a7b-6aa9-4740-8295-a6833825db47,5df8f4def290f74d58745b61,Caja,box,xbx,custom,1,18:01:29.472164+00,18:01:29.472164+00,NULL,False
22d26dad-a444-4b62-b48c-fd4fc90950f1,5df8f4def290f74d58745b67,Cubeta,bkt,xbj,custom,1,18:01:29.472164+00,18:01:29.472164+00,NULL,False
4d37ebb7-67fa-4776-aa7c-e3cb8444022d,5df8f4def290f74d58745b64,Paquete,pkg,xpk,custom,1,18:01:29.472164+00,18:01:29.472164+00,NULL,False
871c9544-cd2a-430e-b23e-487add0c136e,5df8f4def290f74d58745b6c,Manojo,bunch,xbh,custom,1,18:01:29.472164+00,18:01:29.472164+00,NULL,False
103ade77-6cf4-40b8-a8d3-fa1ad2f102c3,5df8f4def290f74d58745b65,Bolsa,bag,xec,custom,1,18:01:29.472164+00,18:01:29.472164+00,NULL,False
60dbd55e-1420-4fab-8105-045e19c6f3e0,5df8f4def290f74d58745b66,Bulto,bun,xsa,custom,1,18:01:29.472164+00,18:01:29.472164+00,NULL,False
3312bd25-c6f3-4e8d-8993-dca1917b664d,5df8f4def290f74d58745b63,Unidad,XUN,xun,custom,1,18:01:29.472164+00,18:01:29.472164+00,NULL,False
760d735a-81b7-448e-9873-c2c7f1854729,5df8f4def290f74d58745b69,Frasco,jar,xci,custom,1,18:01:29.472164+00,18:01:29.472164+00,NULL,False
1cd16489-c79d-4029-8f09-488b1a9418ed,5df8f4def290f74d58745b6a,Garrafon,gar,xcp,custom,1,18:01:29.472164+00,18:01:29.472164+00,NULL,False
ef95fdba-be84-40a6-ba17-76b45f4a90c4,5df8f4def290f74d58745b68,Domo,dome,xif,custom,1,18:01:29.472164+00,18:01:29.472164+00,NULL,False
61f7f5ac-664e-40be-8232-817befbe4e42,5df8f4def290f74d58745b6b,Lata,can,xcx,custom,1,18:01:29.472164+00,18:01:29.472164+00,NULL,False
097b2f1d-3f7c-4421-88b8-0037ca2dbc63,5df8f4def290f74d58745b6e,Botella,bot,xbs,custom,1,18:01:29.472164+00,18:01:29.472164+00,NULL,False
8e8bb93c-67d0-4681-911b-865399100264,5df8f4def290f74d58745b6f,Bote,bt,xbq,custom,1,18:01:29.472164+00,18:01:29.472164+00,NULL,False
